unicode,character,courier normal,courier bold,courier italic,courier bold-italic,helvetica normal,helvetica bold,helvetica italic,helvetica bold-italic,times normal,times bold,times italic,times bold-italic
198,"Æ",0.600,0.600,0.600,0.600,1.000,1.000,1.000,1.000,0.889,1.000,0.889,0.944
199,"Ç",0.600,0.600,0.600,0.600,0.722,0.722,0.722,0.722,0.667,0.722,0.667,0.667
200,"È",0.600,0.600,0.600,0.600,0.667,0.667,0.667,0.667,0.611,0.667,0.611,0.667
201,"É",0.600,0.600,0.600,0.600,0.667,0.667,0.667,0.667,0.611,0.667,0.611,0.667
202,"Ê",0.600,0.600,0.600,0.600,0.667,0.667,0.667,0.667,0.611,0.667,0.611,0.667
203,"Ë",0.600,0.600,0.600,0.600,0.667,0.667,0.667,0.667,0.611,0.667,0.611,0.667
204,"Ì",0.600,0.600,0.600,0.600,0.278,0.278,0.278,0.278,0.333,0.389,0.333,0.389
205,"Í",0.600,0.600,0.600,0.600,0.278,0.278,0.278,0.278,0.333,0.389,0.333,0.389
206,"Î",0.600,0.600,0.600,0.600,0.278,0.278,0.278,0.278,0.333,0.389,0.333,0.389
207,"Ï",0.600,0.600,0.600,0.600,0.278,0.278,0.278,0.278,0.333,0.389,0.333,0.389
208,"Ð",0.600,0.600,0.600,0.600,0.722,0.722,0.722,0.722,0.722,0.722,0.722,0.722
209,"Ñ",0.600,0.600,0.600,0.600,0.722,0.722,0.722,0.722,0.722,0.722,0.667,0.722
210,"Ò",0.600,0.600,0.600,0.600,0.778,0.778,0.778,0.778,0.722,0.778,0.722,0.722
211,"Ó",0.600,0.600,0.600,0.600,0.778,0.778,0.778,0.778,0.722,0.778,0.722,0.722
212,"Ô",0.600,0.600,0.600,0.600,0.778,0.778,0.778,0.778,0.722,0.778,0.722,0.722
213,"Õ",0.600,0.600,0.600,0.600,0.778,0.778,0.778,0.778,0.722,0.778,0.722,0.722
214,"Ö",0.600,0.600,0.600,0.600,0.778,0.778,0.778,0.778,0.722,0.778,0.722,0.722
215,"×",0.600,0.600,0.600,0.600,0.584,0.584,0.584,0.584,0.564,0.570,0.675,0.570
216,"Ø",0.600,0.600,0.600,0.600,0.778,0.778,0.778,0.778,0.722,0.778,0.722,0.722
217,"Ù",0.600,0.600,0.600,0.600,0.722,0.722,0.722,0.722,0.722,0.722,0.722,0.722
218,"Ú",0.600,0.600,0.600,0.600,0.722,0.722,0.722,0.722,0.722,0.722,0.722,0.722
219,"Û",0.600,0.600,0.600,0.600,0.722,0.722,0.722,0.722,0.722,0.722,0.722,0.722
220,"Ü",0.600,0.600,0.600,0.600,0.722,0.722,0.722,0.722,0.722,0.722,0.722,0.722
221,"Ý",0.600,0.600,0.600,0.600,0.667,0.667,0.667,0.667,0.722,0.722,0.556,0.611
222,"Þ",0.600,0.600,0.600,0.600,0.667,0.667,0.667,0.667,0.556,0.611,0.611,0.611
223,"ß",0.600,0.600,0.600,0.600,0.611,0.611,0.611,0.611,0.500,0.556,0.500,0.500
224,"à",0.600,0.600,0.600,0.600,0.556,0.556,0.556,0.556,0.444,0.500,0.500,0.500
225,"á",0.600,0.600,0.600,0.600,0.556,0.556,0.556,0.556,0.444,0.500,0.500,0.500
226,"â",0.600,0.600,0.600,0.600,0.556,0.556,0.556,0.556,0.444,0.500,0.500,0.500
227,"ã",0.600,0.600,0.600,0.600,0.556,0.556,0.556,0.556,0.444,0.500,0.500,0.500
228,"ä",0.600,0.600,0.600,0.600,0.556,0.556,0.556,0.556,0.444,0.500,0.500,0.500
229,"å",0.600,0.600,0.600,0.600,0.556,0.556,0.556,0.556,0.444,0.500,0.500,0.500
230,"æ",0.600,0.600,0.600,0.600,0.889,0.889,0.889,0.889,0.667,0.722,0.667,0.722
